objectid;usoagregad;grupo;area;ruleid;ano;ruleid_1;shape_Length;shape_Area
127;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,48236E+11;1;2018;1;8,37595E+14;2,48236E+14
128;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,79702E+11;1;2018;1;2,93074E+14;2,79702E+14
129;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,62635E+12;1;2018;1;4,85203E+14;1,62635E+14
130;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,17888E+12;1;2018;1;5,77524E+14;2,17888E+13
131;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,47318E+11;1;2018;1;4,20467E+14;5,47318E+14
132;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,81751E+11;1;2018;1;6,47328E+14;6,8175E+14
133;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;57786455325;1;2018;1;1,19176E+14;5,77865E+14
134;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,60388E+11;1;2018;1;2,081E+14;2,60388E+14
135;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,33162E+11;1;2018;1;2,3951E+14;3,33162E+14
136;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,8164E+14;1;2018;1;4,91448E+14;1,8164E+14
137;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,55343E+12;1;2018;1;2,22478E+14;3,55343E+14
138;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,57133E+12;1;2018;1;1,35039E+14;5,57133E+14
139;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;76270100027;1;2018;1;5,03654E+14;7,62701E+13
140;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,81821E+12;1;2018;1;4,99543E+13;1,81821E+14
141;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,01874E+12;1;2018;1;2,07666E+14;3,01874E+13
142;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;7449258012;1;2018;1;5,49216E+14;7,44926E+14
143;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,06304E+12;1;2018;1;5,96524E+14;1,06304E+14
144;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,47683E+11;1;2018;1;2,16595E+14;2,47683E+14
145;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,1395E+12;1;2018;1;7,03993E+13;2,1395E+14
146;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,70872E+11;1;2018;1;3,28566E+14;6,70871E+14
147;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,81057E+11;1;2018;1;1,76117E+14;1,81057E+14
148;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,47213E+11;1;2018;1;2,18885E+14;2,47214E+14
149;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,42393E+11;1;2018;1;4,31872E+14;3,42393E+14
150;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,53474E+11;1;2018;1;3,59124E+14;4,53474E+14
151;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,46588E+11;1;2018;1;2,22476E+14;3,46588E+14
152;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,25635E+12;1;2018;1;2,27288E+14;6,25635E+13
153;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;971701029;1;2018;1;1,24862E+14;9,71698E+13
154;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,9318E+11;1;2018;1;4,77104E+14;5,9318E+14
155;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1790044894;1;2018;1;1,75484E+14;1,79004E+14
156;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,91264E+11;1;2018;1;2,31952E+14;1,91264E+13
157;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1945898564;1;2018;1;1,76696E+14;1,94589E+14
158;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,61668E+11;1;2018;1;3,1792E+14;5,61669E+14
159;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,57347E+12;1;2018;1;8,08877E+13;3,57347E+14
160;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;4,82507E+13;1;2018;1;7,5298E+13;4,82507E+14
161;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,28224E+11;1;2018;1;3,16383E+14;3,28224E+14
